ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.00150288,0.00150288,0.00788288,0,0.00638,0.00638,completed
1,malleable,0.00284425,0.00284425,0.00922425,0,0.00638,0.00638,completed
2,malleable,0.00647591,0.00788288,0.0142629,0.00140697,0.00638,0.00778697,completed
3,malleable,0.00753609,0.00922425,0.0156042,0.00168816,0.00638,0.00806816,completed
4,malleable,0.0172875,0.0172875,0.0236675,0,0.00638,0.00638,completed
5,malleable,0.0219485,0.0219485,0.0283285,0,0.00638,0.00638,completed
6,malleable,0.0229685,0.0236675,0.0300475,0.00069908,0.00638,0.00707908,completed
7,malleable,0.0250338,0.0283285,0.0347085,0.00329472,0.00638,0.00967472,completed
8,malleable,0.0288186,0.0300475,0.0364276,0.00122892,0.00638,0.00760892,completed
9,malleable,0.0323824,0.0347085,0.0410885,0.00232609,0.00638,0.00870609,completed
10,malleable,0.0335119,0.0364276,0.0428076,0.00291566,0.00638,0.00929566,completed
11,malleable,0.0385067,0.0410885,0.0474685,0.0025818,0.00638,0.0089618,completed
12,malleable,0.048378,0.048378,0.054758,0,0.00638,0.00638,completed
13,malleable,0.0552354,0.0552354,0.0616154,0,0.00638,0.00638,completed
14,malleable,0.0556223,0.0556223,0.0620023,0,0.00638,0.00638,completed
15,malleable,0.0586513,0.0616154,0.0679954,0.00296411,0.00638,0.00934411,completed
16,malleable,0.0599319,0.0620023,0.0683823,0.00207038,0.00638,0.00845038,completed
17,malleable,0.0614646,0.0679954,0.0743754,0.00653076,0.00638,0.0129108,completed
18,malleable,0.0691314,0.0691314,0.0755114,0,0.00638,0.00638,completed
19,malleable,0.0745709,0.0745709,0.0809509,0,0.00638,0.00638,completed
20,malleable,0.07915,0.07915,0.08553,0,0.00638,0.00638,completed
21,malleable,0.0829864,0.0829864,0.0893664,0,0.00638,0.00638,completed
22,malleable,0.0871038,0.0871038,0.0934838,0,0.00638,0.00638,completed
23,malleable,0.104518,0.104518,0.110898,0,0.00638,0.00638,completed
24,malleable,0.104523,0.104523,0.110903,0,0.00638,0.00638,completed
25,malleable,0.105832,0.110898,0.117278,0.00506653,0.00638,0.0114465,completed
26,malleable,0.107187,0.110903,0.117283,0.00371535,0.00638,0.0100953,completed
27,malleable,0.10893,0.117278,0.123658,0.00834795,0.00638,0.014728,completed
28,malleable,0.115469,0.117283,0.123663,0.00181332,0.00638,0.00819332,completed
29,malleable,0.118675,0.123658,0.130038,0.00498345,0.00638,0.0113634,completed
30,malleable,0.120345,0.123663,0.130043,0.00331738,0.00638,0.00969738,completed
31,malleable,0.129188,0.130038,0.136418,0.00084981,0.00638,0.00722981,completed
32,malleable,0.131652,0.131652,0.138032,0,0.00638,0.00638,completed
33,malleable,0.140441,0.140441,0.146821,2.77556e-17,0.00638,0.00638,completed
34,malleable,0.144255,0.144255,0.150635,0,0.00638,0.00638,completed
35,malleable,0.144693,0.146821,0.153201,0.002128,0.00638,0.008508,completed
36,malleable,0.145081,0.150635,0.157015,0.00555402,0.00638,0.011934,completed
37,malleable,0.152488,0.153201,0.159581,0.0007129,0.00638,0.0070929,completed
38,malleable,0.159165,0.159165,0.165545,0,0.00638,0.00638,completed
39,malleable,0.165231,0.165231,0.171611,0,0.00638,0.00638,completed
40,malleable,0.177512,0.177512,0.183892,0,0.00638,0.00638,completed
41,malleable,0.179693,0.179693,0.186073,0,0.00638,0.00638,completed
42,malleable,0.180403,0.183892,0.190272,0.00348911,0.00638,0.00986911,completed
43,malleable,0.18637,0.18637,0.19275,0,0.00638,0.00638,completed
44,malleable,0.197939,0.197939,0.204319,0,0.00638,0.00638,completed
45,malleable,0.200972,0.200972,0.207352,0,0.00638,0.00638,completed
